,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,2025-02-27 16:24:15+00:00,100.0,191.2,191.7,195.55,0.0,0.0,2,55,1.8916021044921876,True,REGULAR,USD
1,2025-02-21 18:11:56+00:00,150.0,188.45,142.35,146.1,0.0,0.0,1,1,1.3740265673828125,True,REGULAR,USD
2,2025-02-21 20:36:53+00:00,170.0,167.58,122.5,126.45,0.0,0.0,1,2,1.189457177734375,True,REGULAR,USD
3,2025-02-25 20:47:11+00:00,190.0,110.33,102.8,106.8,0.0,0.0,1,12,1.0224658251953125,True,REGULAR,USD
4,2025-02-28 20:57:45+00:00,200.0,94.2,93.45,96.8,7.25,8.338126,1004,18,0.9575199560546874,True,REGULAR,USD
5,2025-02-25 19:03:59+00:00,210.0,93.0,83.55,87.55,0.0,0.0,13,22,0.8978281701660156,True,REGULAR,USD
6,2025-02-27 18:39:03+00:00,220.0,73.18,74.1,78.0,0.0,0.0,3,16,0.8381363842773437,True,REGULAR,USD
7,2025-02-28 20:26:15+00:00,230.0,64.61,64.85,68.8,6.1100006,10.444446,13,21,0.7905294384765625,True,REGULAR,USD
8,2025-02-28 19:24:15+00:00,235.0,55.32,60.5,63.1,-16.440002,-22.909702,17,0,0.7376735217285155,True,REGULAR,USD
9,2025-02-28 16:06:01+00:00,240.0,56.3,57.25,58.85,2.2999992,4.259258,41,17,0.7574487145996094,True,REGULAR,USD
10,2025-02-28 17:51:34+00:00,245.0,48.2,51.5,54.35,3.2700005,7.2779884,49,18,0.6975127905273439,True,REGULAR,USD
11,2025-02-28 17:47:20+00:00,250.0,48.1,48.5,50.2,5.9300003,14.06213,9,92,0.713015565185547,True,REGULAR,USD
12,2025-02-28 20:09:37+00:00,255.0,44.15,44.7,46.05,0.6500015,1.4942564,103,133,0.7019683123779297,True,REGULAR,USD
13,2025-02-28 19:43:37+00:00,260.0,38.65,39.45,42.1,4.2400017,12.322004,32,130,0.6606479248046876,True,REGULAR,USD
14,2025-02-28 20:38:05+00:00,265.0,35.85,35.6,38.4,-0.95000076,-2.581524,27,121,0.6491734301757812,True,REGULAR,USD
15,2025-02-28 20:57:43+00:00,270.0,33.5,33.35,35.1,4.799999,16.724735,103,57,0.668094139404297,True,REGULAR,USD
16,2025-02-28 20:50:44+00:00,275.0,30.7,30.75,31.2,5.4000015,21.343882,551,76,0.6626010302734376,True,REGULAR,USD
17,2025-02-28 20:59:46+00:00,280.0,27.9,27.6,28.05,6.199999,28.57142,748,113,0.654544470214844,True,REGULAR,USD
18,2025-02-28 20:44:26+00:00,285.0,23.75,24.7,25.1,4.4799995,23.24857,997,225,0.6480137738037108,True,REGULAR,USD
19,2025-02-28 20:59:34+00:00,290.0,22.3,21.95,22.35,5.299999,31.176466,1482,680,0.6411779046630859,True,REGULAR,USD
20,2025-02-28 20:58:45+00:00,295.0,19.8,19.45,19.8,4.8499994,32.441467,481,685,0.6355016918945313,False,REGULAR,USD
