,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,2025-02-28 20:59:00+00:00,100.0,0.14,0.11,0.16,0.020000003,16.66667,277.0,594,1.5390648046875,False,REGULAR,USD
1,2025-02-28 18:28:26+00:00,110.0,0.2,0.11,0.27,0.060000002,42.857143,366.0,111,1.46875265625,False,REGULAR,USD
2,2025-02-28 20:03:08+00:00,120.0,0.26,0.16,0.29,0.00999999,3.9999962,6.0,101,1.3740265673828125,False,REGULAR,USD
3,2025-02-28 20:08:35+00:00,130.0,0.33,0.26,0.34,0.050000012,17.857147,180.0,247,1.3066440917968747,False,REGULAR,USD
4,2025-02-28 20:17:04+00:00,140.0,0.39,0.04,0.4,-0.01000002,-2.500005,179.0,756,1.1484417578125,False,REGULAR,USD
5,2025-02-28 20:57:51+00:00,150.0,0.44,0.41,0.47,-0.050000012,-10.204084,239.0,578,1.1557659399414062,False,REGULAR,USD
6,2025-02-28 20:37:21+00:00,160.0,0.57,0.5,0.58,-0.04000002,-6.55738,142.0,542,1.0888717431640624,False,REGULAR,USD
7,2025-02-28 20:35:56+00:00,170.0,0.7,0.58,0.67,-0.09000003,-11.392408,159.0,277,1.0146533642578124,False,REGULAR,USD
8,2025-02-28 19:56:52+00:00,180.0,0.82,0.75,0.81,-0.19,-18.811882,199.0,258,0.956055126953125,False,REGULAR,USD
9,2025-02-28 20:54:40+00:00,190.0,1.0,0.93,0.99,-0.21000004,-17.355375,207.0,489,0.897217824707031,False,REGULAR,USD
10,2025-02-28 20:59:00+00:00,200.0,1.2,1.16,1.25,-0.51,-29.82456,2352.0,1439,0.8432632861328124,False,REGULAR,USD
11,2025-02-28 20:58:21+00:00,210.0,1.55,1.5,1.59,-0.70000005,-31.111113,402.0,304,0.7944356494140624,False,REGULAR,USD
12,2025-02-28 20:59:17+00:00,220.0,2.04,2.0,2.09,-1.01,-33.114754,308.0,730,0.7526880200195312,False,REGULAR,USD
